iter	Passed	Remaining
0	1	1518
1	2	1428
2	4	1341
3	5	1390
4	6	1328
5	7	1292
6	8	1237
7	9	1204
8	10	1195
9	11	1185
10	13	1189
11	14	1176
12	15	1151
13	16	1146
14	17	1146
15	18	1128
16	19	1126
17	20	1125
18	21	1113
19	22	1111
20	23	1107
21	24	1096
22	25	1089
23	26	1083
24	27	1079
25	28	1071
26	29	1063
27	30	1055
28	31	1045
29	32	1041
30	33	1033
31	33	1026
32	34	1019
33	35	1011
34	36	1001
35	37	993
36	37	983
37	38	975
38	39	968
39	40	962
40	40	956
41	41	951
42	42	944
43	43	937
44	43	929
45	44	925
46	45	921
47	46	917
48	46	912
49	47	907
50	48	903
51	49	899
52	50	893
53	50	889
54	51	884
55	52	879
56	53	877
57	53	875
58	54	872
59	55	868
60	56	865
61	57	862
62	57	859
63	58	856
64	59	852
65	60	850
66	60	846
67	61	845
68	62	841
69	63	838
70	63	835
71	64	832
72	65	828
73	65	825
74	66	823
75	67	821
76	68	817
77	69	815
78	69	813
79	70	811
80	71	808
81	72	807
82	72	805
83	73	802
84	74	800
85	75	797
86	75	794
87	76	793
88	77	790
89	78	789
90	78	787
91	79	784
92	80	783
93	81	781
94	81	778
95	82	776
96	83	774
97	83	772
98	84	770
99	85	769
100	86	768
101	87	766
102	87	764
103	88	762
104	89	760
105	89	758
106	90	757
107	91	755
108	92	753
109	92	751
110	93	750
111	94	749
112	95	748
113	96	746
114	96	744
115	97	743
116	98	741
117	98	739
118	99	738
119	100	737
120	101	735
121	101	733
122	102	732
123	103	731
124	104	729
125	104	728
126	105	726
127	106	724
128	107	723
129	107	721
130	108	720
131	109	718
132	110	717
133	110	715
134	111	714
135	112	713
136	113	712
137	113	711
138	114	710
139	115	708
140	116	708
141	117	707
142	117	706
143	118	705
144	119	703
145	120	702
146	120	701
147	121	699
148	122	698
149	123	697
150	123	696
151	124	694
152	125	693
153	126	692
154	126	691
155	127	690
156	128	688
157	129	687
158	129	686
159	130	685
160	131	684
161	132	683
162	132	682
163	133	680
164	134	680
165	135	679
166	135	677
167	136	676
168	137	675
169	138	673
170	138	672
171	139	671
172	140	670
173	141	669
174	141	668
175	142	667
176	143	666
177	144	665
178	144	664
179	145	663
180	146	662
181	147	661
182	147	660
183	148	659
184	149	657
185	150	657
186	150	655
187	151	654
188	152	653
189	153	652
190	153	651
191	154	650
192	155	649
193	156	648
194	156	647
195	157	646
196	158	645
197	158	643
198	159	642
199	160	641
200	161	640
201	161	639
202	162	638
203	163	637
204	164	636
205	164	635
206	165	634
207	166	633
208	167	632
209	167	631
210	168	630
211	169	629
212	170	628
213	170	627
214	171	626
215	172	625
216	173	624
217	173	623
218	174	622
219	175	621
220	176	620
221	176	619
222	177	618
223	178	617
224	179	616
225	179	615
226	180	614
227	181	613
228	181	612
229	182	612
230	183	611
231	184	611
232	185	610
233	186	609
234	187	609
235	187	608
236	188	607
237	189	607
238	190	606
239	191	605
240	192	604
241	193	605
242	194	605
243	195	604
244	195	603
245	196	602
246	197	601
247	198	601
248	198	599
249	199	598
250	200	597
251	201	596
252	201	595
253	202	594
254	203	593
255	203	592
256	204	591
257	205	590
258	206	589
259	206	588
260	207	588
261	208	587
262	209	586
263	210	586
264	211	585
265	212	585
266	213	584
267	213	584
268	214	583
269	215	583
270	216	582
271	217	582
272	218	582
273	219	581
274	220	581
275	221	580
276	222	579
277	222	578
278	223	578
279	224	577
280	225	576
281	226	575
282	226	575
283	227	574
284	228	573
285	229	572
286	230	571
287	230	570
288	232	572
289	233	571
290	234	570
291	235	570
292	236	569
293	236	568
294	237	568
295	238	567
296	239	566
297	240	565
298	240	564
299	241	564
300	242	563
301	243	562
302	244	561
303	244	560
304	245	559
305	246	559
306	247	558
307	248	557
308	248	556
309	249	556
310	250	555
311	251	554
312	252	554
313	253	553
314	254	552
315	254	551
316	255	551
317	256	550
318	257	549
319	258	548
320	259	548
321	259	547
322	260	546
323	261	545
324	262	544
325	262	543
326	263	542
327	264	541
328	265	540
329	265	539
330	266	538
331	267	537
332	268	537
333	268	536
334	269	535
335	270	534
336	270	533
337	271	532
338	272	531
339	273	530
340	273	529
341	274	528
342	275	527
343	275	526
344	276	525
345	277	524
346	278	523
347	278	522
348	279	521
349	280	520
350	281	519
351	281	518
352	282	517
353	283	516
354	283	515
355	284	514
356	285	514
357	286	513
358	286	512
359	287	511
360	288	510
361	289	509
362	289	508
363	290	508
364	291	507
365	292	506
366	293	505
367	294	505
368	294	504
369	295	503
370	296	502
371	297	501
372	298	501
373	298	500
374	299	499
375	300	498
376	301	497
377	302	497
378	303	496
379	303	495
380	304	495
381	305	494
382	306	493
383	307	492
384	307	491
385	308	491
386	309	490
387	310	489
388	311	488
389	311	487
390	312	486
391	313	485
392	314	485
393	314	484
394	315	483
395	316	482
396	317	481
397	317	480
398	318	479
399	319	478
400	319	477
401	320	476
402	321	476
403	322	475
404	322	474
405	323	473
406	324	472
407	325	471
408	325	471
409	326	470
410	327	469
411	328	468
412	328	467
413	329	466
414	330	465
415	331	464
416	331	464
417	332	463
418	333	462
419	334	461
420	335	461
421	336	460
422	336	459
423	337	458
424	338	457
425	339	457
426	340	456
427	341	455
428	341	455
429	342	454
430	343	453
431	344	452
432	345	452
433	346	451
434	346	450
435	347	449
436	348	449
437	349	448
438	350	447
439	350	446
440	351	445
441	352	445
442	353	444
443	354	443
444	355	442
445	355	442
446	356	441
447	357	440
448	358	440
449	359	439
450	360	438
451	361	437
452	361	437
453	362	436
454	363	435
455	364	434
456	365	433
457	365	432
458	366	432
459	367	431
460	368	430
461	369	429
462	370	429
463	370	428
464	371	427
465	372	426
466	373	426
467	374	425
468	375	424
469	376	424
470	377	423
471	377	422
472	378	421
473	379	421
474	380	420
475	381	419
476	381	418
477	382	417
478	383	417
479	384	416
480	384	415
481	385	414
482	386	413
483	387	412
484	388	412
485	389	411
486	390	410
487	390	410
488	391	409
489	392	408
490	392	407
491	393	406
492	394	405
493	394	404
494	395	403
495	396	402
496	397	402
497	398	401
498	399	400
499	399	399
500	400	399
501	401	398
502	402	397
503	403	396
504	404	396
505	404	395
506	405	394
507	406	393
508	407	393
509	408	392
510	409	391
511	409	390
512	410	389
513	411	389
514	412	388
515	413	387
516	413	386
517	414	385
518	415	385
519	416	384
520	417	383
521	418	382
522	418	382
523	419	381
524	420	380
525	421	379
526	422	378
527	423	378
528	423	377
529	424	376
530	425	375
531	426	374
532	427	374
533	427	373
534	428	372
535	429	371
536	430	371
537	431	370
538	431	369
539	432	368
540	433	367
541	434	366
542	435	366
543	435	365
544	436	364
545	437	363
546	438	363
547	439	362
548	440	361
549	440	360
550	441	359
551	442	359
552	443	358
553	444	357
554	445	356
555	445	356
556	446	355
557	447	354
558	448	353
559	449	352
560	449	352
561	450	351
562	451	350
563	452	349
564	453	348
565	454	348
566	454	347
567	455	346
568	456	345
569	457	344
570	458	344
571	458	343
572	459	342
573	460	341
574	461	340
575	462	340
576	462	339
577	463	338
578	464	337
579	465	337
580	466	336
581	467	335
582	467	334
583	468	333
584	469	333
585	470	332
586	471	331
587	471	330
588	472	329
589	473	329
590	474	328
591	475	327
592	475	326
593	476	325
594	477	325
595	478	324
596	479	323
597	479	322
598	480	321
599	481	321
600	482	320
601	483	319
602	484	318
603	484	317
604	485	317
605	486	316
606	487	315
607	488	314
608	488	313
609	489	313
610	490	312
611	491	311
612	492	310
613	493	309
614	493	309
615	494	308
616	495	307
617	496	306
618	496	305
619	497	305
620	498	304
621	499	303
622	500	302
623	501	301
624	501	301
625	502	300
626	503	299
627	504	298
628	504	297
629	505	297
630	506	296
631	507	295
632	508	294
633	509	293
634	509	293
635	510	292
636	511	291
637	512	290
638	513	289
639	514	289
640	514	288
641	515	287
642	516	286
643	517	286
644	518	285
645	519	284
646	519	283
647	520	282
648	521	282
649	522	281
650	523	280
651	524	279
652	524	278
653	525	278
654	526	277
655	527	276
656	528	275
657	528	274
658	529	274
659	530	273
660	531	272
661	532	271
662	532	270
663	533	270
664	534	269
665	535	268
666	536	267
667	537	266
668	537	266
669	539	265
670	540	264
671	540	263
672	541	263
673	542	262
674	542	261
675	543	260
676	544	259
677	545	258
